Iter         U_{err}      V_{err}      CFL         
1            1.0004       0.000494726  0.4002      
2            2.7333       1.276171246  0.5235      
3            0.9715       0.753795176  0.6101      
4            1.0658       0.753593932  0.6930      
5            0.5768       0.554487016  0.7826      
6            0.5487       0.314865796  0.8598      
7            0.4670       0.390306385  0.8905      
8            0.3110       0.457572903  0.9003      
9            0.3278       0.378528118  0.8920      
10           0.3350       0.253923620  0.8616      
11           0.4324       0.276667760  0.8044      
12           0.4946       0.337370347  0.7539      
13           0.4871       0.340061744  0.6999      
14           0.3963       0.204079438  0.6598      
15           0.2936       0.172120527  0.6336      
16           0.1707       0.239264376  0.6177      
17           0.2125       0.274062320  0.6141      
18           0.2738       0.244514432  0.6224      
19           0.3150       0.209965643  0.6409      
20           0.3102       0.214240654  0.6660      
21           0.2782       0.192726402  0.6928      
22           0.2162       0.153606314  0.7159      
23           0.1428       0.138358535  0.7308      
24           0.1203       0.127019964  0.7357      
25           0.1146       0.121472975  0.7311      
26           0.1468       0.125577988  0.7191      
27           0.1653       0.125158954  0.7015      
28           0.1734       0.128753413  0.6816      
29           0.1641       0.138923958  0.6634      
30           0.1359       0.129854286  0.6489      
31           0.0971       0.107077128  0.6390      
32           0.0786       0.077974707  0.6344      
33           0.0718       0.064436046  0.6341      
34           0.0777       0.072197102  0.6378      
35           0.0965       0.091965136  0.6448      
36           0.1002       0.097895485  0.6546      
37           0.0913       0.091235193  0.6652      
38           0.0865       0.087796876  0.6749      
39           0.0709       0.069257317  0.6826      
40           0.0505       0.060566359  0.6875      
41           0.0365       0.054309512  0.6896      
42           0.0407       0.052529947  0.6883      
43           0.0550       0.059184284  0.6858      
44           0.0653       0.066830536  0.6812      
45           0.0659       0.069388937  0.6772      
46           0.0620       0.070901514  0.6729      
47           0.0608       0.067527982  0.6700      
48           0.0566       0.062285308  0.6687      
49           0.0544       0.055859694  0.6685      
50           0.0522       0.054172290  0.6697      
51           0.0452       0.050002731  0.6728      
52           0.0462       0.044085329  0.6764      
53           0.0478       0.044317782  0.6800      
54           0.0426       0.043816043  0.6843      
55           0.0361       0.046280457  0.6879      
56           0.0306       0.048732737  0.6905      
57           0.0330       0.049580623  0.6918      
58           0.0352       0.051335301  0.6930      
59           0.0358       0.054175456  0.6934      
60           0.0340       0.056297652  0.6929      
61           0.0367       0.055716296  0.6918      
62           0.0370       0.052525419  0.6917      
63           0.0348       0.051773808  0.6913      
64           0.0341       0.050456532  0.6909      
65           0.0341       0.047042833  0.6907      
66           0.0333       0.042752712  0.6917      
67           0.0336       0.040876975  0.6927      
68           0.0333       0.039789485  0.6938      
69           0.0353       0.037807981  0.6946      
70           0.0358       0.036305531  0.6958      
71           0.0352       0.036104152  0.6972      
72           0.0343       0.035368701  0.6982      
73           0.0330       0.035269076  0.6987      
74           0.0339       0.035590073  0.6997      
75           0.0335       0.037232368  0.7008      
76           0.0324       0.038597504  0.7015      
77           0.0306       0.038824911  0.7018      
78           0.0278       0.036766905  0.7019      
79           0.0286       0.037524569  0.7021      
80           0.0284       0.036791455  0.7027      
81           0.0275       0.036390978  0.7032      
82           0.0252       0.036268641  0.7048      
83           0.0235       0.034820982  0.7063      
84           0.0242       0.033746774  0.7080      
85           0.0240       0.032582347  0.7095      
86           0.0232       0.033142175  0.7104      
87           0.0220       0.033054832  0.7113      
88           0.0213       0.032345604  0.7122      
89           0.0214       0.031189747  0.7127      
90           0.0208       0.031066373  0.7130      
91           0.0198       0.030552430  0.7134      
92           0.0197       0.030310742  0.7145      
93           0.0197       0.029316627  0.7153      
94           0.0196       0.029210956  0.7160      
95           0.0197       0.028599415  0.7165      
96           0.0196       0.027581319  0.7173      
97           0.0197       0.026340752  0.7179      
98           0.0197       0.025925139  0.7183      
99           0.0197       0.025444795  0.7187      
100          0.0197       0.024897735  0.7192      
101          0.0197       0.024151173  0.7198      
102          0.0197       0.023495209  0.7203      
103          0.0195       0.023166906  0.7207      
104          0.0195       0.022618582  0.7209      
105          0.0194       0.022009002  0.7210      
106          0.0193       0.021321029  0.7214      
107          0.0191       0.020969107  0.7216      
108          0.0191       0.020498757  0.7216      
109          0.0191       0.019908604  0.7215      
110          0.0190       0.019225823  0.7214      
111          0.0189       0.018537202  0.7211      
112          0.0189       0.018109453  0.7211      
113          0.0189       0.017620293  0.7210      
114          0.0189       0.017173863  0.7208      
