Iter         F_x          F_y          \bar{X}_c    \bar{Y}_c    Y(t)         \dot{Y}(t)  
1            26.5010      1.4336       1.5000       2.5000       0.0000       0.0000      
2            9.2096       -0.0873      1.5000       2.5000       0.0000       0.0000      
3            1.2898       -0.2803      1.5000       2.5000       0.0000       0.0000      
4            -0.2403      -0.3281      1.5000       2.5000       0.0000       0.0000      
5            1.9795       -0.3102      1.5000       2.5000       0.0000       0.0000      
6            2.6303       -0.3398      1.5000       2.5000       0.0000       0.0000      
7            1.4306       -0.3202      1.5000       2.5000       0.0000       0.0000      
8            0.4591       -0.1353      1.5000       2.5000       0.0000       0.0000      
9            0.3118       0.1358       1.5000       2.5000       0.0000       0.0000      
10           0.3352       0.3380       1.5000       2.5000       0.0000       0.0000      
11           0.1194       0.4531       1.5000       2.5000       0.0000       0.0000      
12           -0.1954      0.5015       1.5000       2.5000       0.0000       0.0000      
13           -0.4369      0.4909       1.5000       2.5000       0.0000       0.0000      
14           -0.5347      0.4387       1.5000       2.5000       0.0000       0.0000      
15           -0.4729      0.3420       1.5000       2.5000       0.0000       0.0000      
16           -0.3109      0.2320       1.5000       2.5000       0.0000       0.0000      
17           -0.0967      0.1085       1.5000       2.5000       0.0000       0.0000      
18           0.1415       -0.0191      1.5000       2.5000       0.0000       0.0000      
19           0.3939       -0.1275      1.5000       2.5000       0.0000       0.0000      
20           0.6379       -0.1966      1.5000       2.5000       0.0000       0.0000      
21           0.8386       -0.2250      1.5000       2.5000       0.0000       0.0000      
22           0.9509       -0.2204      1.5000       2.5000       0.0000       0.0000      
23           0.9524       -0.1925      1.5000       2.5000       0.0000       0.0000      
24           0.8422       -0.1379      1.5000       2.5000       0.0000       0.0000      
25           0.6497       -0.0734      1.5000       2.5000       0.0000       0.0000      
26           0.4280       -0.0132      1.5000       2.5000       0.0000       0.0000      
27           0.2256       0.0392       1.5000       2.5000       0.0000       0.0000      
28           0.0769       0.0821       1.5000       2.5000       0.0000       0.0000      
29           -0.0035      0.1105       1.5000       2.5000       0.0000       0.0000      
30           -0.0133      0.1222       1.5000       2.5000       0.0000       0.0000      
31           0.0426       0.1195       1.5000       2.5000       0.0000       0.0000      
32           0.1516       0.0983       1.5000       2.5000       0.0000       0.0000      
33           0.2903       0.0570       1.5000       2.5000       0.0000       0.0000      
34           0.4370       0.0020       1.5000       2.5000       0.0000       0.0000      
35           0.5720       -0.0564      1.5000       2.5000       0.0000       0.0000      
36           0.6773       -0.1114      1.5000       2.5000       0.0000       0.0000      
37           0.7407       -0.1581      1.5000       2.5000       0.0000       0.0000      
38           0.7567       -0.1913      1.5000       2.5000       0.0000       0.0000      
39           0.7287       -0.2061      1.5000       2.5000       0.0000       0.0000      
40           0.6700       -0.2026      1.5000       2.5000       0.0000       0.0000      
41           0.5937       -0.1822      1.5000       2.5000       0.0000       0.0000      
42           0.5150       -0.1480      1.5000       2.5000       0.0000       0.0000      
43           0.4466       -0.1066      1.5000       2.5000       0.0000       0.0000      
44           0.3977       -0.0648      1.5000       2.5000       0.0000       0.0000      
45           0.3722       -0.0293      1.5000       2.5000       0.0000       0.0000      
46           0.3699       -0.0055      1.5000       2.5000       0.0000       0.0000      
47           0.3886       0.0040       1.5000       2.5000       0.0000       0.0000      
48           0.4247       -0.0015      1.5000       2.5000       0.0000       0.0000      
49           0.4727       -0.0213      1.5000       2.5000       0.0000       0.0000      
50           0.5254       -0.0517      1.5000       2.5000       0.0000       0.0000      
51           0.5744       -0.0876      1.5000       2.5000       0.0000       0.0000      
52           0.6140       -0.1236      1.5000       2.5000       0.0000       0.0000      
53           0.6403       -0.1545      1.5000       2.5000       0.0000       0.0000      
54           0.6508       -0.1766      1.5000       2.5000       0.0000       0.0000      
55           0.6455       -0.1884      1.5000       2.5000       0.0000       0.0000      
56           0.6277       -0.1891      1.5000       2.5000       0.0000       0.0000      
57           0.6000       -0.1796      1.5000       2.5000       0.0000       0.0000      
58           0.5666       -0.1624      1.5000       2.5000       0.0000       0.0000      
59           0.5329       -0.1404      1.5000       2.5000       0.0000       0.0000      
60           0.5046       -0.1172      1.5000       2.5000       0.0000       0.0000      
61           0.4850       -0.0964      1.5000       2.5000       0.0000       0.0000      
62           0.4755       -0.0808      1.5000       2.5000       0.0000       0.0000      
63           0.4769       -0.0726      1.5000       2.5000       0.0000       0.0000      
64           0.4883       -0.0727      1.5000       2.5000       0.0000       0.0000      
65           0.5072       -0.0807      1.5000       2.5000       0.0000       0.0000      
66           0.5303       -0.0949      1.5000       2.5000       0.0000       0.0000      
67           0.5536       -0.1131      1.5000       2.5000       0.0000       0.0000      
68           0.5736       -0.1326      1.5000       2.5000       0.0000       0.0000      
69           0.5877       -0.1509      1.5000       2.5000       0.0000       0.0000      
