Iter         F_x          F_y          \bar{X}_c    \bar{Y}_c    Y(t)         \dot{Y}(t)  
1            3.3400       0.2017       0.0000       0.0100       0.0000       0.0000      
2            0.1715       -0.0182      0.0000       0.0105       0.0000       0.1008      
3            0.1961       -0.0085      0.0000       0.0107       0.0005       0.0367      
4            0.2100       -0.0077      0.0000       0.0109       0.0007       0.0346      
5            0.2160       -0.0065      0.0000       0.0110       0.0009       0.0307      
6            0.2162       -0.0053      0.0000       0.0112       0.0010       0.0273      
7            0.2121       -0.0044      0.0000       0.0113       0.0012       0.0244      
8            0.2046       -0.0035      0.0000       0.0114       0.0013       0.0219      
9            0.1948       -0.0029      0.0000       0.0115       0.0014       0.0197      
10           0.1836       -0.0024      0.0000       0.0116       0.0015       0.0177      
11           0.1719       -0.0021      0.0000       0.0116       0.0016       0.0159      
12           0.1603       -0.0020      0.0000       0.0117       0.0016       0.0141      
13           0.1494       -0.0021      0.0000       0.0118       0.0017       0.0123      
14           0.1399       -0.0024      0.0000       0.0118       0.0018       0.0104      
15           0.1320       -0.0029      0.0000       0.0119       0.0018       0.0082      
16           0.1259       -0.0032      0.0000       0.0119       0.0019       0.0057      
17           0.1217       -0.0038      0.0000       0.0119       0.0019       0.0031      
18           0.1196       -0.0044      0.0000       0.0119       0.0019       0.0001      
19           0.1192       -0.0048      0.0000       0.0119       0.0019       -0.0032     
20           0.1203       -0.0051      0.0000       0.0119       0.0019       -0.0067     
21           0.1226       -0.0052      0.0000       0.0118       0.0019       -0.0102     
22           0.1260       -0.0054      0.0000       0.0117       0.0018       -0.0138     
23           0.1303       -0.0053      0.0000       0.0117       0.0017       -0.0175     
24           0.1352       -0.0051      0.0000       0.0116       0.0017       -0.0210     
25           0.1403       -0.0047      0.0000       0.0114       0.0016       -0.0244     
26           0.1452       -0.0040      0.0000       0.0113       0.0014       -0.0274     
27           0.1497       -0.0032      0.0000       0.0111       0.0013       -0.0299     
28           0.1536       -0.0021      0.0000       0.0110       0.0011       -0.0319     
29           0.1566       -0.0009      0.0000       0.0108       0.0010       -0.0333     
30           0.1586       0.0003       0.0000       0.0107       0.0008       -0.0340     
31           0.1594       0.0014       0.0000       0.0105       0.0007       -0.0340     
32           0.1589       0.0025       0.0000       0.0103       0.0005       -0.0333     
33           0.1571       0.0035       0.0000       0.0102       0.0003       -0.0320     
34           0.1540       0.0043       0.0000       0.0100       0.0002       -0.0302     
35           0.1497       0.0050       0.0000       0.0099       0.0000       -0.0279     
36           0.1443       0.0055       0.0000       0.0097       -0.0001      -0.0252     
37           0.1378       0.0058       0.0000       0.0096       -0.0003      -0.0223     
38           0.1305       0.0059       0.0000       0.0095       -0.0004      -0.0192     
39           0.1225       0.0058       0.0000       0.0095       -0.0005      -0.0161     
40           0.1140       0.0056       0.0000       0.0094       -0.0005      -0.0129     
41           0.1052       0.0052       0.0000       0.0093       -0.0006      -0.0099     
42           0.0963       0.0047       0.0000       0.0093       -0.0007      -0.0071     
43           0.0875       0.0042       0.0000       0.0093       -0.0007      -0.0046     
44           0.0789       0.0035       0.0000       0.0093       -0.0007      -0.0023     
45           0.0708       0.0028       0.0000       0.0093       -0.0007      -0.0003     
46           0.0634       0.0021       0.0000       0.0093       -0.0007      0.0013      
47           0.0566       0.0014       0.0000       0.0093       -0.0007      0.0025      
48           0.0507       0.0006       0.0000       0.0093       -0.0007      0.0034      
49           0.0457       -0.0000      0.0000       0.0093       -0.0007      0.0039      
50           0.0416       -0.0006      0.0000       0.0093       -0.0007      0.0040      
51           0.0384       -0.0012      0.0000       0.0094       -0.0007      0.0039      
52           0.0360       -0.0017      0.0000       0.0094       -0.0006      0.0035      
53           0.0346       -0.0021      0.0000       0.0094       -0.0006      0.0029      
54           0.0339       -0.0025      0.0000       0.0094       -0.0006      0.0021      
55           0.0339       -0.0028      0.0000       0.0094       -0.0006      0.0010      
56           0.0345       -0.0031      0.0000       0.0094       -0.0006      -0.0001     
57           0.0356       -0.0033      0.0000       0.0094       -0.0006      -0.0014     
58           0.0371       -0.0036      0.0000       0.0094       -0.0006      -0.0029     
59           0.0389       -0.0038      0.0000       0.0094       -0.0006      -0.0044     
60           0.0410       -0.0040      0.0000       0.0093       -0.0006      -0.0061     
61           0.0432       -0.0042      0.0000       0.0093       -0.0007      -0.0078     
62           0.0455       -0.0044      0.0000       0.0092       -0.0007      -0.0096     
63           0.0480       -0.0045      0.0000       0.0092       -0.0008      -0.0115     
64           0.0505       -0.0046      0.0000       0.0091       -0.0008      -0.0134     
65           0.0529       -0.0047      0.0000       0.0090       -0.0009      -0.0153     
66           0.0554       -0.0047      0.0000       0.0090       -0.0010      -0.0173     
67           0.0577       -0.0047      0.0000       0.0089       -0.0010      -0.0192     
68           0.0600       -0.0047      0.0000       0.0088       -0.0011      -0.0210     
69           0.0621       -0.0046      0.0000       0.0086       -0.0012      -0.0228     
70           0.0642       -0.0046      0.0000       0.0085       -0.0014      -0.0245     
71           0.0662       -0.0045      0.0000       0.0084       -0.0015      -0.0260     
72           0.0682       -0.0044      0.0000       0.0083       -0.0016      -0.0275     
73           0.0701       -0.0042      0.0000       0.0081       -0.0017      -0.0289     
74           0.0721       -0.0041      0.0000       0.0080       -0.0019      -0.0301     
75           0.0740       -0.0040      0.0000       0.0078       -0.0020      -0.0311     
76           0.0760       -0.0038      0.0000       0.0076       -0.0022      -0.0321     
77           0.0781       -0.0037      0.0000       0.0075       -0.0024      -0.0329     
78           0.0802       -0.0035      0.0000       0.0073       -0.0025      -0.0335     
79           0.0824       -0.0034      0.0000       0.0071       -0.0027      -0.0340     
80           0.0846       -0.0032      0.0000       0.0070       -0.0029      -0.0343     
81           0.0869       -0.0031      0.0000       0.0068       -0.0030      -0.0344     
82           0.0892       -0.0029      0.0000       0.0066       -0.0032      -0.0344     
83           0.0915       -0.0028      0.0000       0.0065       -0.0034      -0.0342     
84           0.0938       -0.0027      0.0000       0.0063       -0.0035      -0.0339     
85           0.0959       -0.0025      0.0000       0.0061       -0.0037      -0.0334     
86           0.0980       -0.0024      0.0000       0.0060       -0.0039      -0.0328     
87           0.0998       -0.0022      0.0000       0.0058       -0.0040      -0.0320     
88           0.1015       -0.0021      0.0000       0.0056       -0.0042      -0.0310     
89           0.1029       -0.0019      0.0000       0.0055       -0.0044      -0.0299     
90           0.1040       -0.0018      0.0000       0.0053       -0.0045      -0.0287     
91           0.1049       -0.0017      0.0000       0.0052       -0.0047      -0.0273     
92           0.1055       -0.0016      0.0000       0.0051       -0.0048      -0.0258     
93           0.1058       -0.0016      0.0000       0.0050       -0.0049      -0.0242     
94           0.1059       -0.0015      0.0000       0.0049       -0.0050      -0.0225     
95           0.1058       -0.0014      0.0000       0.0047       -0.0051      -0.0207     
96           0.1054       -0.0014      0.0000       0.0047       -0.0053      -0.0188     
97           0.1047       -0.0014      0.0000       0.0046       -0.0053      -0.0168     
98           0.1039       -0.0015      0.0000       0.0045       -0.0054      -0.0149     
99           0.1028       -0.0015      0.0000       0.0044       -0.0055      -0.0129     
100          0.1015       -0.0016      0.0000       0.0044       -0.0056      -0.0109     
101          0.1000       -0.0017      0.0000       0.0043       -0.0056      -0.0089     
102          0.0983       -0.0017      0.0000       0.0043       -0.0057      -0.0070     
103          0.0966       -0.0018      0.0000       0.0043       -0.0057      -0.0050     
